;Indépendant(e)s;Collab. familiales/familiaux;Salarié(e)s membres de la direction 2);Salarié(e)s exerçant une fonction de chef;Salarié(e)s sans fonction de chef;Apprenti(e)s
1991;14.3  ;1.7  ;10.9  ;21.5  ;46.9  ;4.6  
1992;14.1  ;1.6  ;10.8  ;23.0  ;45.5  ;5.0  
1993;15.2  ;1.9  ;11.0  ;22.7  ;44.3  ;4.9  
1994;14.9  ;1.9  ;11.0  ;22.8  ;44.8  ;4.7  
1995;16.1  ;1.8  ;9.9  ;22.0  ;45.6  ;4.7  
1996;17.6  ;2.0  ;17.6  ;18.6  ;39.4  ;4.8  
1997;18.4  ;1.7  ;17.9  ;17.9  ;39.4  ;4.7  
1998;17.7  ;1.9  ;18.5  ;18.0  ;38.9  ;5.0  
1999;18.2  ;1.8  ;19.1  ;17.8  ;38.2  ;4.9  
2000;18.5  ;1.7  ;17.1  ;19.5  ;38.2  ;5.0  
2001;17.5  ;1.9  ;17.7  ;19.1  ;38.8  ;5.0  
2002;17.3  ;1.9  ;18.4  ;18.1  ;38.8  ;5.5  
2003;18.1  ;1.8  ;18.4  ;18.3  ;38.5  ;5.0  
2004;17.3  ;1.4  ;18.0  ;18.7  ;39.5  ;5.0  
2005;16.9  ;1.3  ;16.9  ;19.6  ;40.2  ;5.1  
2006;16.6  ;1.4  ;17.3  ;19.6  ;39.9  ;5.3  
2007;16.3  ;1.7  ;17.5  ;19.5  ;39.4  ;5.5  
2008;16.7  ;1.5  ;18.0  ;19.1  ;39.4  ;5.4  
2009;15.5  ;1.7  ;17.3  ;20.3  ;39.5  ;5.7  
2010 1);;;;;;
2011;15.9  ;1.6  ;7.9  ;24.1  ;45.1  ;5.4  
2012;15.8  ;1.6  ;8.2  ;24.2  ;44.9  ;5.4  
2013;15.6  ;1.7  ;8.0  ;24.3  ;45.1  ;5.2  
2014;15.6  ;1.6  ;8.1  ;24.2  ;45.2  ;5.3  
2015;15.0  ;1.5  ;8.1  ;24.5  ;45.9  ;5.0  
2016;15.3  ;1.6  ;7.5  ;24.6  ;46.0  ;5.0  
2017;15.0  ;1.6  ;7.4  ;24.8  ;46.1  ;5.1  
2018;15.1  ;1.5  ;7.5  ;24.3  ;46.6  ;4.9  
